"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"1" 0 3.56167689435304 0.882 0.024 0 11 "NPB"
"2" 0 2.92698891738342 0.794 0.004 0 11 "TM4SF1"
"3" 0 2.51683279793529 0.998 0.933 0 11 "RPS3A"
"4" 0 2.4967215653867 0.998 0.805 0 11 "RPL7"
"5" 0 2.48566147946471 0.998 0.757 0 11 "RPL13"
"6" 0 2.4853396064504 0.815 0.084 0 11 "FABP5"
"7" 0 2.45095963259325 0.985 0.371 0 11 "EEF1B2"
"8" 0 2.44277191245739 0.998 0.767 0 11 "RPS18"
"9" 0 2.38766382062118 0.998 0.929 0 11 "RPL9"
"10" 0 2.34636938711929 0.996 0.87 0 11 "NACA"
"11" 0 2.34216969689347 0.994 0.614 0 11 "RPS9"
"12" 0 2.33796522634009 1 0.972 0 11 "EEF1A1"
"13" 0 2.31292422079515 0.807 0.007 0 11 "UCHL1"
"14" 0 2.29807738599925 1 0.936 0 11 "RPL37A"
"15" 0 2.28783483121767 1 0.877 0 11 "RPL36"
"16" 0 2.28552545379192 0.994 0.712 0 11 "RPL36A"
"17" 0 2.27957366623877 0.998 0.864 0 11 "RPS28"
"18" 0 2.25851026712436 0.998 0.863 0 11 "RPL6"
"19" 0 2.24754886159399 1 0.768 0 11 "RPLP0"
"20" 0 2.20572481842572 0.912 0.143 0 11 "PTMS"
"21" 0 2.2055633254802 0.996 0.693 0 11 "RPL14"
"22" 0 2.19817811732823 0.998 0.604 0 11 "RPSA"
"23" 0 2.19548583060314 0.998 0.823 0 11 "RPS4X"
"24" 0 2.18860122600927 0.964 0.385 0 11 "HSP90AB1"
"25" 0 2.18094296555522 1 0.854 0 11 "RPL13A"
"26" 0 2.17652463430563 0.996 0.768 0 11 "RPL5"
"27" 0 2.17153916375169 0.991 0.909 0 11 "RPS3"
"28" 0 2.16888033876234 0.998 0.898 0 11 "RPL10"
"29" 0 2.1592173313933 0.996 0.697 0 11 "RPL35"
"30" 0 2.15189746537014 1 0.952 0 11 "RPL11"
"31" 0 2.12029678277679 0.695 0.002 0 11 "CBLC"
"32" 0 2.11934161062053 0.998 0.972 0 11 "RPL26"
"33" 0 2.11649006530318 1 0.94 0 11 "RPL8"
"34" 0 2.09099031660343 0.998 0.788 0 11 "RPL7A"
"35" 0 2.088597103268 0.989 0.666 0 11 "EEF1G"
"36" 0 2.07694074436665 0.876 0.087 0 11 "GNG11"
"37" 0 2.06645142530001 1 0.986 0 11 "RPL37"
"38" 0 2.06070912194306 0.998 0.824 0 11 "RPS24"
"39" 0 2.036783278242 0.991 0.883 0 11 "LOC101929876"
"40" 0 2.02036787574259 0.824 0.08 0 11 "NRIP1"
"41" 0 2.01102646315956 1 0.97 0 11 "RPL24"
"42" 0 2.00952221491529 0.706 0.013 0 11 "C5"
"43" 0 2.00703039693056 1 0.982 0 11 "RPL39"
"44" 0 1.98092525677391 0.552 0.008 0 11 "MDK"
"45" 0 1.9661657017789 0.994 0.595 0 11 "RPS2"
"46" 0 1.95109606079488 0.727 0.002 0 11 "ICAM2"
"47" 0 1.93934609928504 0.998 0.88 0 11 "RPL38"
"48" 0 1.93179026311712 0.996 0.885 0 11 "RPS20"
"49" 0 1.92262777323058 1 0.817 0 11 "RPS5"
"50" 0 1.91283842629453 0.916 0.269 0 11 "RPL22L1"
"51" 0 1.90821835142223 0.996 0.971 0 11 "RPL27A"
"52" 0 1.88730823595338 1 0.959 0 11 "RPL30"
"53" 0 1.88491856801576 0.998 0.986 0 11 "RPL17"
"54" 0 1.86685855025026 1 0.953 0 11 "RPL34"
"55" 0 1.86608949103535 0.979 0.434 0 11 "RPL10A"
"56" 0 1.85706969551443 0.987 0.538 0 11 "RPL31"
"57" 0 1.84319396430591 1 0.944 0 11 "RPS6"
"58" 0 1.83653181012354 0.998 0.961 0 11 "RPS27A"
"59" 0 1.83258906074368 0.998 0.904 0 11 "RPS10"
"60" 0 1.82294790269798 1 0.969 0 11 "RPL19"
"61" 0 1.81866033505948 0.779 0.008 0 11 "RBP1"
"62" 0 1.80102214388301 0.976 0.571 0 11 "EEF2"
"63" 0 1.77523672981155 0.989 0.837 0 11 "RPL23A"
"64" 0 1.76325922714817 1 0.961 0 11 "RPS23"
"65" 0 1.73633227872807 0.998 0.941 0 11 "RPS25"
"66" 0 1.71470570978004 0.998 0.949 0 11 "RPS13"
"67" 0 1.68370212722249 0.74 0.013 0 11 "PCBD1"
"68" 0 1.64237864192027 0.725 0.005 0 11 "HOXA9"
"69" 0 1.62151570940967 0.803 0.041 0 11 "SSBP4"
"70" 0 1.57875397449096 1 0.99 0 11 "RPL41"
"71" 0 1.56609903684079 1 0.973 0 11 "RPS17"
"72" 0 1.5583616451309 0.62 0.002 0 11 "EPCAM"
"73" 0 1.55619938157866 0.689 0.014 0 11 "CD34"
"74" 0 1.52481521105801 0.678 0.035 0 11 "FCER1A"
"75" 0 1.4929062809005 0.648 0.016 0 11 "SOX4"
"76" 0 1.49001082803106 0.614 0.019 0 11 "SPRY2"
"77" 0 1.37080386905643 0.622 0.02 0 11 "S100A1"
"78" 0 1.33849562453102 0.597 0.005 0 11 "CYTL1"
"79" 0 1.315657620584 0.659 0.013 0 11 "NPDC1"
"80" 0 1.2271675694631 0.594 0.006 0 11 "KIT"
"81" 0 1.15348947024584 0.629 0.017 0 11 "TMEM98"
"82" 0 1.05246432596023 0.494 0.001 0 11 "BCAM"
"83" 0 0.910390994967651 0.511 0.001 0 11 "MAJIN"
"84" 0 0.857156722770779 0.448 0.001 0 11 "EMCN"
"85" 0 -1.53886950606713 0.955 0.917 0 11 "CYBA"
"86" 0 -1.73174530356559 0.839 0.925 0 11 "ARPC5"
"87" 0 -2.55761598076542 0.723 0.915 0 11 "TSPO"
"88" 0 -2.68503162557878 0.871 0.871 0 11 "ANXA1"
"89" 0 -2.8531955963969 0.502 0.851 0 11 "FCER1G"
"90" 0 -3.55823488581658 0.391 0.862 0 11 "TYROBP"
"91" 0 -4.65820224999223 0.996 0.996 0 11 "S100A8"
"92" 0 -4.67033902897162 0.944 0.971 0 11 "S100A9"
"93" 0 -4.77743672805696 0.406 0.876 0 11 "LYZ"
"94" 2.47032822920623e-323 -1.60192701810443 0.828 0.912 3.06839469349706e-319 11 "CD9"
"95" 1.85324023755052e-320 2.14871124039617 0.884 0.248 2.3019096990615e-316 11 "STARD3NL"
"96" 7.18075009665668e-320 1.81810847306016 0.987 0.745 8.91920969505726e-316 11 "RPS19"
"97" 2.10308923465243e-319 1.86458188114115 0.998 0.835 2.61224713836179e-315 11 "RPL18A"
"98" 2.36213279342346e-318 1.72529465969895 0.996 0.885 2.93400514271128e-314 11 "RPS15"
"99" 1.02001581813686e-317 -2.63014295123576 0.423 0.86 1.26696164770779e-313 11 "GLRX"
"100" 6.47496842839083e-317 1.92848489780334 0.994 0.799 8.04255828490425e-313 11 "SLC25A6"
"101" 3.36406210343018e-316 2.13744616303981 0.961 0.266 4.17850153867063e-312 11 "HSPE1"
"102" 1.06852118227969e-315 1.63379152554296 0.991 0.95 1.3272101605096e-311 11 "RPL35A"
"103" 2.1384108236327e-314 1.67067349976165 0.987 0.65 2.65612008403417e-310 11 "RPL29"
"104" 1.85696341428243e-313 1.1992349932899 0.717 0.048 2.3065342568802e-309 11 "ITM2C"
"105" 1.25218040488508e-312 1.08293530811686 0.558 0.013 1.55533328090775e-308 11 "FSCN1"
"106" 2.94608643710916e-311 1.52309095041588 1 0.99 3.65933396353329e-307 11 "RPS29"
"107" 2.03824241519528e-308 1.06958302313438 0.425 0.002 2.53170090391406e-304 11 "ATP10B"
"108" 3.52320276203976e-308 -1.75469151995325 0.586 0.88 4.37617015072959e-304 11 "COTL1"
"109" 5.30127605430106e-308 1.60858360099027 0.998 0.932 6.58471498704734e-304 11 "RPL18"
"110" 9.65573472900064e-307 -1.71432026019915 0.682 0.826 1.19933881068917e-302 11 "BRI3"
"111" 1.8230148571085e-304 2.27803661775915 0.989 0.352 2.26436675401447e-300 11 "PTMA"
"112" 2.29856653255716e-303 1.66306140564765 0.972 0.387 2.85504949008924e-299 11 "PPDPF"
"113" 1.04508151980782e-301 -1.59769179254936 0.893 0.884 1.29809575575329e-297 11 "ALOX5AP"
"114" 7.38995971062212e-300 1.0218746145648 0.579 0.02 9.17906895656374e-296 11 "ANGPT1"
"115" 1.01617877390138e-298 1.7663557394155 0.981 0.423 1.26219565506291e-294 11 "EID1"
"116" 7.75660300499016e-296 1.44621703937094 1 0.991 9.63447659249827e-292 11 "RPS27"
"117" 1.9606555106033e-293 1.68419388254658 1 0.959 2.43533020972036e-289 11 "RPL28"
"118" 3.31841667877696e-293 1.57233108398886 0.972 0.439 4.12180535670886e-289 11 "PEBP1"
"119" 9.5681897898706e-293 -1.94655964201552 0.629 0.899 1.18846485379983e-288 11 "LSP1"
"120" 3.91689472996734e-292 1.92402641206547 0.944 0.233 4.86517494409243e-288 11 "SOD1"
"121" 6.28135524190729e-288 1.58909485588706 0.845 0.201 7.80207134597305e-284 11 "BZW2"
"122" 7.3571116156081e-288 -1.54990399805714 0.901 0.911 9.13826833774682e-284 11 "PRR13"
"123" 2.9440964891148e-285 1.91605474944287 0.996 0.755 3.65686224912949e-281 11 "RPS8"
"124" 1.60342068115563e-283 0.744265262691436 0.382 0.001 1.9916088280634e-279 11 "ESAM"
"125" 3.14328642331765e-282 1.50349252171974 1 0.966 3.90427606640285e-278 11 "RPS14"
"126" 6.25380740815392e-278 1.65761044498867 1 0.741 7.76785418166798e-274 11 "RPL22"
"127" 1.19878946329406e-276 1.63830845194084 0.966 0.389 1.48901639235755e-272 11 "EIF3G"
"128" 2.29919121924133e-276 1.6422577527849 0.998 0.976 2.85582541341966e-272 11 "RPS12"
"129" 4.36795288454491e-275 1.97820577858124 0.976 0.326 5.42543427789324e-271 11 "MIF"
"130" 4.34610477814655e-274 0.708262181652377 0.341 0 5.39829674493583e-270 11 "SHISA9"
"131" 5.37628243918535e-272 1.82534682874846 1 0.959 6.67788041771212e-268 11 "RPLP2"
"132" 1.34456831962225e-271 -1.60916325388399 0.841 0.873 1.67008830980279e-267 11 "PGD"
"133" 2.97414179662297e-269 1.53882227416956 1 0.98 3.6941815255854e-265 11 "RPL23"
"134" 1.52007546125889e-267 -3.16544930590186 0.451 0.827 1.88808573042967e-263 11 "LRG1"
"135" 2.29137826744558e-267 1.68224276778063 0.944 0.27 2.84612094599415e-263 11 "NCL"
"136" 4.4811499018092e-265 -1.4404872622328 0.991 0.97 5.56603629303721e-261 11 "PFN1"
"137" 2.19073709973864e-263 1.35027359764584 0.373 0.002 2.72111455158536e-259 11 "GATA2"
"138" 3.80254250344713e-260 -2.8994983450701 0.114 0.797 4.72313804353168e-256 11 "IGSF6"
"139" 2.35712323690705e-259 1.65749068316042 0.981 0.524 2.92778277256225e-255 11 "RPL4"
"140" 2.08174016953099e-257 1.35120034682492 0.985 0.825 2.58572946457444e-253 11 "BTF3"
"141" 7.92440114960839e-257 1.45233302374848 1 0.983 9.84289866792858e-253 11 "RPS11"
"142" 1.33826641431834e-254 1.05846513207783 0.695 0.065 1.66226071322481e-250 11 "PIGY"
"143" 1.00434272950957e-251 1.37192339862246 0.609 0.045 1.24749410432384e-247 11 "SEPP1"
"144" 5.74646724522144e-251 0.868912564126937 0.38 0.003 7.13768696528955e-247 11 "TMEM176B"
"145" 9.26242324132073e-250 1.65107190770601 0.974 0.454 1.15048559080445e-245 11 "EIF3F"
"146" 2.08982056064354e-248 1.45998458486506 0.998 0.979 2.59576611837534e-244 11 "RPS7"
"147" 4.63775869944095e-248 1.52279082083436 0.82 0.158 5.76056008057561e-244 11 "RNASEH2C"
"148" 1.3960252319799e-247 -1.75757662556385 0.929 0.954 1.73400294064223e-243 11 "GSTP1"
"149" 2.10922167806585e-246 -1.73690535713683 0.869 0.814 2.6198642463256e-242 11 "SERPINB1"
"150" 1.4543823946016e-245 1.47217351598252 0.884 0.203 1.80648837233465e-241 11 "GLTSCR2"
"151" 4.41383845268841e-244 1.49540594878227 0.944 0.371 5.48242874208427e-240 11 "RPL32"
